step,generated_token_id,generated_token,rank,prompt_index,absolute_position,token_id,token,attention
85,13,.,1,2,214,2168,Ġimage,0.0031394949182868004
85,13,.,2,0,212,74785,Describe,0.0016284998273476958
85,13,.,3,1,213,419,Ġthis,0.0014155568787828088
86,576,ĠThe,1,0,212,74785,Describe,0.003923910204321146
86,576,ĠThe,2,2,214,2168,Ġimage,0.0038509899750351906
86,576,ĠThe,3,1,213,419,Ġthis,0.002766477642580867
87,18824,Ġpainting,1,2,214,2168,Ġimage,0.0033339352812618017
87,18824,Ġpainting,2,0,212,74785,Describe,0.002232919679954648
87,18824,Ġpainting,3,1,213,419,Ġthis,0.0018868576735258102
88,1707,Ġstyle,1,2,214,2168,Ġimage,0.004766694735735655
88,1707,Ġstyle,2,1,213,419,Ġthis,0.0026476990897208452
88,1707,Ġstyle,3,0,212,74785,Describe,0.0024854002986103296
89,374,Ġis,1,2,214,2168,Ġimage,0.003255236428231001
89,374,Ġis,2,0,212,74785,Describe,0.0022701628040522337
89,374,Ġis,3,1,213,419,Ġthis,0.002123071113601327
90,15590,Ġfluid,1,2,214,2168,Ġimage,0.0026010656729340553
90,15590,Ġfluid,2,0,212,74785,Describe,0.0019436528673395514
90,15590,Ġfluid,3,1,213,419,Ġthis,0.0018248880514875054
91,323,Ġand,1,2,214,2168,Ġimage,0.0018336321227252483
91,323,Ġand,2,0,212,74785,Describe,0.0010532424785196781
91,323,Ġand,3,1,213,419,Ġthis,0.000807093339972198
92,77123,Ġexpressive,1,2,214,2168,Ġimage,0.0015751110622659326
92,77123,Ġexpressive,2,0,212,74785,Describe,0.0011228332296013832
92,77123,Ġexpressive,3,1,213,419,Ġthis,0.0009133793064393103
93,11,",",1,2,214,2168,Ġimage,0.0016654104692861438
93,11,",",2,0,212,74785,Describe,0.0010863096686080098
93,11,",",3,1,213,419,Ġthis,0.0008583721937611699
94,39780,Ġcapturing,1,2,214,2168,Ġimage,0.0020980804692953825
94,39780,Ġcapturing,2,0,212,74785,Describe,0.0018609663238748908
94,39780,Ġcapturing,3,1,213,419,Ġthis,0.0016738302074372768
95,279,Ġthe,1,2,214,2168,Ġimage,0.0022383700124919415
95,279,Ġthe,2,1,213,419,Ġthis,0.0014510927721858025
95,279,Ġthe,3,0,212,74785,Describe,0.0011884910054504871
96,27491,Ġessence,1,2,214,2168,Ġimage,0.0020864498801529408
96,27491,Ġessence,2,1,213,419,Ġthis,0.0012024015886709094
96,27491,Ġessence,3,0,212,74785,Describe,0.0008564398158341646
97,315,Ġof,1,2,214,2168,Ġimage,0.002107128268107772
97,315,Ġof,2,1,213,419,Ġthis,0.0013758332934230566
97,315,Ġof,3,0,212,74785,Describe,0.0010066417744383216
98,279,Ġthe,1,2,214,2168,Ġimage,0.002048102207481861
98,279,Ġthe,2,1,213,419,Ġthis,0.0015570438699796796
98,279,Ġthe,3,0,212,74785,Describe,0.000831547484267503
99,3832,Ġsubject,1,2,214,2168,Ġimage,0.003064691321924329
99,3832,Ġsubject,2,1,213,419,Ġthis,0.001818876713514328
99,3832,Ġsubject,3,0,212,74785,Describe,0.0009634887101128697
100,448,Ġwith,1,2,214,2168,Ġimage,0.0024945782497525215
100,448,Ġwith,2,1,213,419,Ġthis,0.0012376949889585376
100,448,Ġwith,3,0,212,74785,Describe,0.0010205305879935622
101,264,Ġa,1,2,214,2168,Ġimage,0.0014459567610174417
101,264,Ġa,2,0,212,74785,Describe,0.0010904853697866201
101,264,Ġa,3,1,213,419,Ġthis,0.0009760446846485138
102,5530,Ġsense,1,2,214,2168,Ġimage,0.001562133664265275
102,5530,Ġsense,2,0,212,74785,Describe,0.0010944749228656292
102,5530,Ġsense,3,1,213,419,Ġthis,0.000939422519877553
103,315,Ġof,1,2,214,2168,Ġimage,0.0016663725255057216
103,315,Ġof,2,0,212,74785,Describe,0.001388247823342681
103,315,Ġof,3,1,213,419,Ġthis,0.0011131862411275506
104,7203,Ġmovement,1,2,214,2168,Ġimage,0.001610908075235784
104,7203,Ġmovement,2,0,212,74785,Describe,0.0008090218179859221
104,7203,Ġmovement,3,1,213,419,Ġthis,0.0007955337059684098
105,323,Ġand,1,2,214,2168,Ġimage,0.0012430913047865033
105,323,Ġand,2,0,212,74785,Describe,0.0006942366017028689
105,323,Ġand,3,1,213,419,Ġthis,0.0006845236639492214
106,19772,Ġemotion,1,2,214,2168,Ġimage,0.0011261152103543282
106,19772,Ġemotion,2,0,212,74785,Describe,0.0006699887453578413
106,19772,Ġemotion,3,1,213,419,Ġthis,0.00065520970383659
107,13,.,1,2,214,2168,Ġimage,0.0015196604654192924
107,13,.,2,0,212,74785,Describe,0.0009788634488359094
107,13,.,3,1,213,419,Ġthis,0.0008675024146214128
108,151645,<|im_end|>,1,0,212,74785,Describe,0.00474534509703517
108,151645,<|im_end|>,2,2,214,2168,Ġimage,0.004233917221426964
108,151645,<|im_end|>,3,1,213,419,Ġthis,0.0027557644061744213
